season,date,team1,team2,points1,points2,ot,loc,locn,text,division
2004,2004x11x27,Sam Houston,Western Ky.,54,24,,1,,FCS R16,FCS
2004,2004x11x27,Montana,Northwestern St.,56,7,,1,,FCS R16,FCS
2004,2004x11x27,New Hampshire,Ga. Southern,27,23,,2,,FCS R16,FCS
2004,2004x11x27,William & Mary,Hampton,42,35,,1,,FCS R16,FCS
2004,2004x11x27,Delaware,Lafayette,28,14,,1,,FCS R16,FCS
2004,2004x11x27,James Madison,Lehigh,14,13,,2,,FCS R16,FCS
2004,2004x11x27,Furman,Jacksonville St.,49,7,,1,,FCS R16,FCS
2004,2004x12x04,Sam Houston,Eastern Wash.,35,34,,2,,FCS QF,FCS
2004,2004x12x04,Montana,New Hampshire,47,17,,1,,FCS QF,FCS
2004,2004x12x04,William & Mary,Delaware,44,38,2OT,1,,FCS QF,FCS
2004,2004x12x04,James Madison,Furman,14,13,,2,,FCS QF,FCS
2004,2004x12x11,Montana,Sam Houston,34,13,,1,,FCS Semi,FCS
2004,2004x12x11,James Madison,William & Mary,48,34,,2,,FCS Semi,FCS
2004,2004x12x17,James Madison,Montana,31,21,,3,Chattanooga,FCS Champ,FCS
2005,2005x11x12,Central Ark.,Albany St.,28,20,,2,,D2 R24,D2
2005,2005x11x12,North Alabama,Valdosta St.,40,13,,2,,D2 R24,D2
2005,2005x11x12,Pittsburg St.,Neb. Kearney,49,20,,2,,D2 R24,D2
2005,2005x11x12,NW Missouri St.,Angelo St.,45,14,,2,,D2 R24,D2
2005,2005x11x12,CW Post,West Chester,24,20,,1,,D2 R24,D2
2005,2005x11x12,East Stroudsburg,Southern Conn.,55,33,,1,,D2 R24,D2
2005,2005x11x12,North Dakota,Minn. Duluth,23,12,,1,,D2 R24,D2
2005,2005x11x12,Saginaw Valley St.,Northwood,31,16,,1,,D2 R24,D2
2005,2005x11x19,Central Ark.,Presbyterian,52,28,,2,,D2 R16,D2
2005,2005x11x19,North Alabama,NC Central,24,21,,2,,D2 R16,D2
2005,2005x11x19,Pittsburg St.,West Texas A&M,41,3,,2,,D2 R16,D2
2005,2005x11x19,NW Missouri St.,Washburn,42,32,,2,,D2 R16,D2
2005,2005x11x19,CW Post,Shepherd,28,21,,2,,D2 R16,D2
2005,2005x11x19,East Stroudsburg,Bloomsburg,52,39,,2,,D2 R16,D2
2005,2005x11x19,Grand Valley St.,North Dakota,17,3,,1,,D2 R16,D2
2005,2005x11x19,Saginaw Valley St.,Omaha,24,21,,2,,D2 R16,D2
2005,2005x11x26,North Alabama,Central Ark.,41,38,OT,2,,D2 QF,D2
2005,2005x11x26,NW Missouri St.,Pittsburg St.,21,10,,2,,D2 QF,D2
2005,2005x11x26,East Stroudsburg,CW Post,55,28,,1,,D2 QF,D2
2005,2005x11x26,Grand Valley St.,Saginaw Valley St.,24,17,,1,,D2 QF,D2
2005,2005x12x03,NW Missouri St.,North Alabama,25,24,,2,,D2 Semi,D2
2005,2005x12x03,Grand Valley St.,East Stroudsburg,55,20,,1,,D2 Semi,D2
2005,2005x12x10,Grand Valley St.,NW Missouri St.,21,17,,3,Florence AL,D2 Champ,D2
2005,2005x11x19,Linfield,Occidental,63,21,,99,,D3 R32,D3
2005,2005x11x19,Concordia Moorhead,Coe,27,14,,99,,D3 R32,D3
2005,2005x11x19,St. John's (MN),Monmouth (IL),62,3,,99,,D3 R32,D3
2005,2005x11x19,UW Whitewater,Central (IA),34,14,,99,,D3 R32,D3
2005,2005x11x19,Mary Hardin-Baylor,Trinity (TX),35,6,,99,,D3 R32,D3
2005,2005x11x19,Wesley,Ferrum,59,14,,99,,D3 R32,D3
2005,2005x11x19,Bridgewater,Wash. & Jeff.,30,21,,99,,D3 R32,D3
2005,2005x11x19,Thiel,Johns Hopkins,28,3,,99,,D3 R32,D3
2005,2005x11x19,Wabash,Albion,38,20,,99,,D3 R32,D3
2005,2005x11x19,Capital,North Central,21,19,,99,,D3 R32,D3
2005,2005x11x19,Augustana (IL),Lakeland,49,22,,99,,D3 R32,D3
2005,2005x11x19,Mount Union,Mount St. Joseph,49,6,,99,,D3 R32,D3
2005,2005x11x19,Delaware Valley,Curry,37,22,,99,,D3 R32,D3
2005,2005x11x19,Hobart,Cortland St.,23,22,,99,,D3 R32,D3
2005,2005x11x19,Rowan,Wilkes,42,3,,99,,D3 R32,D3
2005,2005x11x19,Union (NY),Ithaca,55,41,,99,,D3 R32,D3
2005,2005x11x26,Linfield,Concordia Moorhead,28,14,,99,,D3 R16,D3
2005,2005x11x26,UW Whitewater,St. John's (MN),34,7,,99,,D3 R16,D3
2005,2005x11x26,Wesley,Mary Hardin-Baylor,46,36,,99,,D3 R16,D3
2005,2005x11x26,Bridgewater,Thiel,24,13,,99,,D3 R16,D3
2005,2005x11x26,Capital,Wabash,14,11,,99,,D3 R16,D3
2005,2005x11x26,Mount Union,Augustana (IL),44,7,,99,,D3 R16,D3
2005,2005x11x26,Delaware Valley,Hobart,21,14,,99,,D3 R16,D3
2005,2005x11x26,Rowan,Union (NY),28,24,,99,,D3 R16,D3
2005,2005x12x03,UW Whitewater,Linfield,44,41,,99,,D3 QF,D3
2005,2005x12x03,Wesley,Bridgewater,46,7,,99,,D3 QF,D3
2005,2005x12x03,Mount Union,Capital,34,31,,99,,D3 QF,D3
2005,2005x12x03,Rowan,Delaware Valley,27,21,,99,,D3 QF,D3
2005,2005x12x10,UW Whitewater,Wesley,58,6,,99,,D3 Semi,D3
2005,2005x12x10,Mount Union,Rowan,19,7,,99,,D3 Semi,D3
2005,2005x12x17,Mount Union,UW Whitewater,35,28,,3,Salem VA,D3 Champ,D3
2005,2005x11x26,New Hampshire,Colgate,55,21,,1,,FCS R16,FCS
2005,2005x11x26,Northern Iowa,Eastern Wash.,41,38,,1,,FCS R16,FCS
2005,2005x11x26,Cal Poly,Montana,35,21,,2,,FCS R16,FCS
2005,2005x11x26,Texas St.,Ga. Southern,50,35,,1,,FCS R16,FCS
2005,2005x11x26,Richmond,Hampton,38,10,,2,,FCS R16,FCS
2005,2005x11x26,Furman,Nicholls,14,12,,1,,FCS R16,FCS
2005,2005x11x26,Southern Ill.,Eastern Ill.,21,6,,2,,FCS R16,FCS
2005,2005x11x26,Appalachian St.,Lafayette,34,23,,1,,FCS R16,FCS
2005,2005x12x03,Northern Iowa,New Hampshire,24,21,,2,,FCS QF,FCS
2005,2005x12x03,Texas St.,Cal Poly,14,7,,1,,FCS QF,FCS
2005,2005x12x03,Furman,Richmond,24,20,,2,,FCS QF,FCS
2005,2005x12x03,Appalachian St.,Southern Ill.,38,24,,1,,FCS QF,FCS
2005,2005x12x10,Northern Iowa,Texas St.,40,37,OT,2,,FCS Semi,FCS
2005,2005x12x10,Appalachian St.,Furman,29,23,,1,,FCS Semi,FCS
2005,2005x12x16,Appalachian St.,Northern Iowa,21,16,,3,Chattanooga,FCS Champ,FCS
2006,2006x11x18,South Dakota,Northwood,31,28,OT,2,,D2 R24,D2
2006,2006x11x18,North Dakota,Winona St.,42,0,,1,,D2 R24,D2
2006,2006x11x18,Delta St.,Elizabeth City St.,17,10,,2,,D2 R24,D2
2006,2006x11x18,Newberry,Albany St.,34,28,,1,,D2 R24,D2
2006,2006x11x18,Merrimack,Southern Conn.,28,26,,1,,D2 R24,D2
2006,2006x11x18,West Chester,Bryant,31,29,,2,,D2 R24,D2
2006,2006x11x18,Midwestern St.,Mo. Western,28,26,,1,,D2 R24,D2
2006,2006x11x18,West Texas A&M,Abilene Christian,30,27,OT,1,,D2 R24,D2
2006,2006x11x25,Grand Valley St.,South Dakota,35,17,,1,,D2 R16,D2
2006,2006x11x25,North Dakota,Omaha,38,35,,2,,D2 R16,D2
2006,2006x11x25,Delta St.,NC Central,24,17,,2,,D2 R16,D2
2006,2006x11x25,North Alabama,Newberry,38,20,,1,,D2 R16,D2
2006,2006x11x25,Shepherd,Merrimack,31,7,,1,,D2 R16,D2
2006,2006x11x25,Bloomsburg,West Chester,21,20,,1,,D2 R16,D2
2006,2006x11x25,NW Missouri St.,Midwestern St.,27,0,,1,,D2 R16,D2
2006,2006x11x25,Chadron St.,West Texas A&M,43,17,,1,,D2 R16,D2
2006,2006x12x02,Grand Valley St.,North Dakota,30,20,,1,,D2 QF,D2
2006,2006x12x02,Delta St.,North Alabama,27,10,,2,,D2 QF,D2
2006,2006x12x02,Bloomsburg,Shepherd,24,21,,2,,D2 QF,D2
2006,2006x12x02,NW Missouri St.,Chadron St.,28,21,,1,,D2 QF,D2
2006,2006x12x09,Grand Valley St.,Delta St.,49,30,,1,,D2 Semi,D2
2006,2006x12x09,NW Missouri St.,Bloomsburg,33,3,,1,,D2 Semi,D2
2006,2006x12x16,Grand Valley St.,NW Missouri St.,17,14,,3,Florence AL,D2 Champ,D2
2006,2006x11x18,Mount Union,Hope,49,0,,99,,D3 R32,D3
2006,2006x11x18,Wheaton,Mount St. Joseph,42,28,,99,,D3 R32,D3
2006,2006x11x18,North Central,Concordia (WI),35,6,,99,,D3 R32,D3
2006,2006x11x18,Capital,Wittenberg,32,14,,99,,D3 R32,D3
2006,2006x11x18,Wilkes,Wash. & Lee,42,0,,99,,D3 R32,D3
2006,2006x11x18,Rowan,Hobart,20,18,,99,,D3 R32,D3
2006,2006x11x18,St. John Fisher,Union (NY),49,21,,99,,D3 R32,D3
2006,2006x11x18,Springfield,Curry,42,14,,99,,D3 R32,D3
2006,2006x11x18,Wesley,Dickinson,49,21,,99,,D3 R32,D3
2006,2006x11x18,Carnegie Mellon,Millsaps,21,0,,99,,D3 R32,D3
2006,2006x11x18,Wash. & Jeff.,Chris. Newport,27,23,,99,,D3 R32,D3
2006,2006x11x18,Mary Hardin-Baylor,Hardin Simmons,33,21,,99,,D3 R32,D3
2006,2006x11x18,UW Whitewater,St. Norbert,59,17,,99,,D3 R32,D3
2006,2006x11x18,UW LaCrosse,Bethel (MN),28,21,,99,,D3 R32,D3
2006,2006x11x18,Whitworth,Occidental,27,23,,99,,D3 R32,D3
2006,2006x11x18,St. John's (MN),Central (IA),21,13,,99,,D3 R32,D3
2006,2006x11x25,Mount Union,Wheaton,35,3,,99,,D3 R16,D3
2006,2006x11x25,Capital,North Central,41,13,,99,,D3 R16,D3
2006,2006x11x25,Rowan,Wilkes,21,14,,99,,D3 R16,D3
2006,2006x11x25,St. John Fisher,Springfield,27,21,,99,,D3 R16,D3
2006,2006x11x25,Wesley,Carnegie Mellon,37,0,,99,,D3 R16,D3
2006,2006x11x25,Mary Hardin-Baylor,Wash. & Jeff.,30,27,,99,,D3 R16,D3
2006,2006x11x25,UW Whitewater,UW LaCrosse,24,21,,99,,D3 R16,D3
2006,2006x11x25,St. John's (MN),Whitworth,21,3,,99,,D3 R16,D3
2006,2006x12x02,Mount Union,Capital,17,14,,99,,D3 QF,D3
2006,2006x12x02,St. John Fisher,Rowan,31,0,,99,,D3 QF,D3
2006,2006x12x02,Wesley,Mary Hardin-Baylor,34,20,,99,,D3 QF,D3
2006,2006x12x02,UW Whitewater,St. John's (MN),17,14,,99,,D3 QF,D3
2006,2006x12x09,Mount Union,St. John Fisher,26,14,,99,,D3 Semi,D3
2006,2006x12x09,UW Whitewater,Wesley,44,7,,99,,D3 Semi,D3
2006,2006x12x16,Mount Union,UW Whitewater,35,16,,3,Salem VA,D3 Champ,D3
2006,2006x11x25,Appalachian St.,Coastal Carolina,45,28,,1,,FCS R16,FCS
2006,2006x11x25,Montana St.,Furman,31,13,,1,,FCS R16,FCS
2006,2006x11x25,Illinois St.,Eastern Ill.,24,13,,2,,FCS R16,FCS
2006,2006x11x25,Youngstown St.,James Madison,35,31,,1,,FCS R16,FCS
2006,2006x11x25,Massachusetts,Lafayette,35,14,,1,,FCS R16,FCS
2006,2006x11x25,New Hampshire,Hampton,41,38,,2,,FCS R16,FCS
2006,2006x11x25,Southern Ill.,UT Martin,36,30,,1,,FCS R16,FCS
2006,2006x11x25,Montana,McNeese,31,6,,1,,FCS R16,FCS
2006,2006x12x02,Appalachian St.,Montana St.,38,17,,1,,FCS QF,FCS
2006,2006x12x02,Youngstown St.,Illinois St.,28,21,,1,,FCS QF,FCS
2006,2006x12x02,Massachusetts,New Hampshire,24,17,,1,,FCS QF,FCS
2006,2006x12x02,Montana,Southern Ill.,20,3,,1,,FCS QF,FCS
2006,2006x12x09,Appalachian St.,Youngstown St.,49,24,,1,,FCS Semi,FCS
2006,2006x12x09,Massachusetts,Montana,19,17,,2,,FCS Semi,FCS
2006,2006x12x15,Appalachian St.,Massachusetts,28,17,,3,Chattanooga,FCS Champ,FCS
2007,2007x11x17,Central Wash.,Ashland,40,24,,1,,D2 R24,D2
2007,2007x11x17,North Dakota,Winona St.,44,2,,1,,D2 R24,D2
2007,2007x11x17,Abilene Christian,Colorado Mesa,56,12,,1,,D2 R24,D2
2007,2007x11x17,West Texas A&M,Washburn,40,39,,1,,D2 R24,D2
2007,2007x11x17,Catawba,Albany St.,66,35,,1,,D2 R24,D2
2007,2007x11x17,Delta St.,Shaw,45,7,,1,,D2 R24,D2
2007,2007x11x17,Southern Conn.,Bryant,45,28,,1,,D2 R24,D2
2007,2007x11x17,Indiana (PA),West Chester,45,35,,2,,D2 R24,D2
2007,2007x11x24,Central Wash.,Omaha,20,17,,2,,D2 R16,D2
2007,2007x11x24,Grand Valley St.,North Dakota,21,14,,1,,D2 R16,D2
2007,2007x11x24,Chadron St.,Abilene Christian,76,73,3OT,1,,D2 R16,D2
2007,2007x11x24,NW Missouri St.,West Texas A&M,56,28,,1,,D2 R16,D2
2007,2007x11x24,Valdosta St.,Catawba,55,29,,1,,D2 R16,D2
2007,2007x11x24,North Alabama,Delta St.,20,17,,1,,D2 R16,D2
2007,2007x11x24,California (PA),Southern Conn.,43,7,,1,,D2 R16,D2
2007,2007x11x24,Shepherd,Indiana (PA),41,34,,1,,D2 R16,D2
2007,2007x12x01,Grand Valley St.,Central Wash.,41,21,,1,,D2 QF,D2
2007,2007x12x01,NW Missouri St.,Chadron St.,26,13,,2,,D2 QF,D2
2007,2007x12x01,Valdosta St.,North Alabama,37,23,,1,,D2 QF,D2
2007,2007x12x01,California (PA),Shepherd,58,38,,1,,D2 QF,D2
2007,2007x12x08,NW Missouri St.,Grand Valley St.,34,16,,1,,D2 Semi,D2
2007,2007x12x08,Valdosta St.,California (PA),28,24,,2,,D2 Semi,D2
2007,2007x12x15,Valdosta St.,NW Missouri St.,25,20,,3,Florence AL,D2 Champ,D2
2007,2007x11x17,Mount Union,Ithaca,42,18,,99,,D3 R32,D3
2007,2007x11x17,TCNJ,Rensselaer,17,14,,99,,D3 R32,D3
2007,2007x11x17,Curry,Hartwick,42,21,,99,,D3 R32,D3
2007,2007x11x17,St. John Fisher,Hobart,24,7,,99,,D3 R32,D3
2007,2007x11x17,Central (IA),Olivet,38,17,,99,,D3 R32,D3
2007,2007x11x17,St. John's (MN),Redlands,41,13,,99,,D3 R32,D3
2007,2007x11x17,UW Eau Claire,St. Norbert,24,20,,99,,D3 R32,D3
2007,2007x11x17,Bethel (MN),Concordia (WI),28,0,,99,,D3 R32,D3
2007,2007x11x17,NC Wesleyan,Wash. & Jeff.,35,34,OT,99,,D3 R32,D3
2007,2007x11x17,Mary Hardin-Baylor,Trinity (TX),52,23,,99,,D3 R32,D3
2007,2007x11x17,Muhlenberg,Salisbury St.,31,21,,99,,D3 R32,D3
2007,2007x11x17,Wesley,Hampden-Sydney,45,17,,99,,D3 R32,D3
2007,2007x11x17,UW Whitewater,Capital,34,14,,99,,D3 R32,D3
2007,2007x11x17,North Central,Franklin,44,42,,99,,D3 R32,D3
2007,2007x11x17,Wabash,Mount St. Joseph,31,21,,99,,D3 R32,D3
2007,2007x11x17,CWRU,Widener,21,20,,99,,D3 R32,D3
2007,2007x11x24,Mount Union,TCNJ,59,7,,99,,D3 R16,D3
2007,2007x11x24,St. John Fisher,Curry,38,7,,99,,D3 R16,D3
2007,2007x11x24,Central (IA),St. John's (MN),37,7,,99,,D3 R16,D3
2007,2007x11x24,Bethel (MN),UW Eau Claire,21,12,,99,,D3 R16,D3
2007,2007x11x24,Mary Hardin-Baylor,NC Wesleyan,64,0,,99,,D3 R16,D3
2007,2007x11x24,Wesley,Muhlenberg,38,21,,99,,D3 R16,D3
2007,2007x11x24,UW Whitewater,North Central,59,28,,99,,D3 R16,D3
2007,2007x11x24,Wabash,CWRU,38,23,,99,,D3 R16,D3
2007,2007x12x01,Mount Union,St. John Fisher,52,10,,99,,D3 QF,D3
2007,2007x12x01,Bethel (MN),Central (IA),27,13,,99,,D3 QF,D3
2007,2007x12x01,Mary Hardin-Baylor,Wesley,27,10,,99,,D3 QF,D3
2007,2007x12x01,UW Whitewater,Wabash,47,7,,99,,D3 QF,D3
2007,2007x12x08,Mount Union,Bethel (MN),62,14,,99,,D3 Semi,D3
2007,2007x12x08,UW Whitewater,Mary Hardin-Baylor,16,7,,99,,D3 Semi,D3
2007,2007x12x15,UW Whitewater,Mount Union,31,21,,3,Salem VA,D3 Champ,D3
2007,2007x11x24,Northern Iowa,New Hampshire,38,35,,1,,FCS R16,FCS
2007,2007x11x24,Delaware,Delaware St.,44,7,,1,,FCS R16,FCS
2007,2007x11x24,Southern Ill.,Eastern Ill.,30,11,,1,,FCS R16,FCS
2007,2007x11x24,Massachusetts,Fordham,49,35,,1,,FCS R16,FCS
2007,2007x11x24,Eastern Wash.,McNeese,44,15,,2,,FCS R16,FCS
2007,2007x11x24,Appalachian St.,James Madison,28,27,,1,,FCS R16,FCS
2007,2007x11x24,Wofford,Montana,23,22,,2,,FCS R16,FCS
2007,2007x11x24,Richmond,Eastern Ky.,31,14,,1,,FCS R16,FCS
2007,2007x12x01,Delaware,Northern Iowa,39,27,,2,,FCS QF,FCS
2007,2007x12x01,Southern Ill.,Massachusetts,34,27,,1,,FCS QF,FCS
2007,2007x12x01,Appalachian St.,Eastern Wash.,38,35,,1,,FCS QF,FCS
2007,2007x12x01,Richmond,Wofford,21,10,,2,,FCS QF,FCS
2007,2007x12x08,Delaware,Southern Ill.,20,17,,2,,FCS Semi,FCS
2007,2007x12x08,Appalachian St.,Richmond,55,35,,1,,FCS Semi,FCS
2007,2007x12x14,Appalachian St.,Delaware,49,21,,3,Chattanooga,FCS Champ,FCS
2008,2008x11x15,Tusculum,Albany St.,34,22,,1,,D2 R24,D2
2008,2008x11x15,Valdosta St.,Carson-Newman,24,20,,1,,D2 R24,D2
2008,2008x11x15,West Texas A&M,Central Wash.,49,42,,1,,D2 R24,D2
2008,2008x11x15,Pittsburg St.,Omaha,33,21,,1,,D2 R24,D2
2008,2008x11x15,West Chester,Southern Conn.,52,32,,1,,D2 R24,D2
2008,2008x11x15,Seton Hill,American Intl.,14,7,,2,,D2 R24,D2
2008,2008x11x15,Ashland,Minnesota St.,27,16,,1,,D2 R24,D2
2008,2008x11x15,Chadron St.,Wayne St. (NE),23,17,,1,,D2 R24,D2
2008,2008x11x22,Delta St.,Tusculum,27,19,,1,,D2 R16,D2
2008,2008x11x22,North Alabama,Valdosta St.,37,10,,1,,D2 R16,D2
2008,2008x11x22,Abilene Christian,West Texas A&M,93,68,,1,,D2 R16,D2
2008,2008x11x22,NW Missouri St.,Pittsburg St.,38,35,,1,,D2 R16,D2
2008,2008x11x22,Bloomsburg,West Chester,28,21,,1,,D2 R16,D2
2008,2008x11x22,California (PA),Seton Hill,48,7,,1,,D2 R16,D2
2008,2008x11x22,Grand Valley St.,Ashland,40,7,,1,,D2 R16,D2
2008,2008x11x22,Minn. Duluth,Chadron St.,20,10,,1,,D2 R16,D2
2008,2008x11x29,North Alabama,Delta St.,55,34,,2,,D2 QF,D2
2008,2008x11x29,NW Missouri St.,Abilene Christian,45,36,,2,,D2 QF,D2
2008,2008x11x29,California (PA),Bloomsburg,27,24,,2,,D2 QF,D2
2008,2008x11x29,Minn. Duluth,Grand Valley St.,19,13,2OT,2,,D2 QF,D2
2008,2008x12x06,NW Missouri St.,North Alabama,41,7,,1,,D2 Semi,D2
2008,2008x12x06,Minn. Duluth,California (PA),45,7,,2,,D2 Semi,D2
2008,2008x12x13,Minn. Duluth,NW Missouri St.,21,14,,3,Florence AL,D2 Champ,D2
2008,2008x11x22,Mount Union,Randolph-Macon,56,0,,99,,D3 R32,D3
2008,2008x11x22,Hobart,Lycoming,33,15,,99,,D3 R32,D3
2008,2008x11x22,Cortland St.,Plymouth St.,31,14,,99,,D3 R32,D3
2008,2008x11x22,Curry,Ithaca,26,21,,99,,D3 R32,D3
2008,2008x11x22,North Central,Thomas More,44,23,,99,,D3 R32,D3
2008,2008x11x22,Franklin,Otterbein,62,45,,99,,D3 R32,D3
2008,2008x11x22,Wabash,CWRU,20,17,,99,,D3 R32,D3
2008,2008x11x22,Wheaton,Trine,14,0,,99,,D3 R32,D3
2008,2008x11x22,Willamette,Occidental,48,33,,99,,D3 R32,D3
2008,2008x11x22,UW Whitewater,St. John's (MN),37,7,,99,,D3 R32,D3
2008,2008x11x22,Wartburg,UW Stevens Point,26,21,,99,,D3 R32,D3
2008,2008x11x22,Monmouth (IL),Aurora,42,13,,99,,D3 R32,D3
2008,2008x11x22,Millsaps,LaGrange,51,26,,99,,D3 R32,D3
2008,2008x11x22,Wash. & Jeff.,Chris. Newport,35,29,,99,,D3 R32,D3
2008,2008x11x22,Wesley,Muhlenberg,20,0,,99,,D3 R32,D3
2008,2008x11x22,Mary Hardin-Baylor,Hardin Simmons,38,35,,99,,D3 R32,D3
2008,2008x11x29,Mount Union,Hobart,42,7,,99,,D3 R16,D3
2008,2008x11x29,Cortland St.,Curry,42,0,,99,,D3 R16,D3
2008,2008x11x29,Franklin,North Central,38,28,,99,,D3 R16,D3
2008,2008x11x29,Wheaton,Wabash,59,28,,99,,D3 R16,D3
2008,2008x11x29,UW Whitewater,Willamette,30,27,,99,,D3 R16,D3
2008,2008x11x29,Wartburg,Monmouth (IL),30,28,,99,,D3 R16,D3
2008,2008x11x29,Wash. & Jeff.,Millsaps,35,20,,99,,D3 R16,D3
2008,2008x11x29,Mary Hardin-Baylor,Wesley,46,14,,99,,D3 R16,D3
2008,2008x12x06,Mount Union,Cortland St.,41,14,,99,,D3 QF,D3
2008,2008x12x06,Wheaton,Franklin,45,28,,99,,D3 QF,D3
2008,2008x12x06,UW Whitewater,Wartburg,34,17,,99,,D3 QF,D3
2008,2008x12x06,Mary Hardin-Baylor,Wash. & Jeff.,63,7,,99,,D3 QF,D3
2008,2008x12x13,Mount Union,Wheaton,45,24,,99,,D3 Semi,D3
2008,2008x12x13,UW Whitewater,Mary Hardin-Baylor,39,13,,99,,D3 Semi,D3
2008,2008x12x20,Mount Union,UW Whitewater,31,26,,3,Salem VA,D3 Champ,D3
2008,2008x11x29,James Madison,Wofford,38,35,,1,,FCS R16,FCS
2008,2008x11x29,Villanova,Colgate,55,28,,1,,FCS R16,FCS
2008,2008x11x29,Montana,Texas St.,31,13,,1,,FCS R16,FCS
2008,2008x11x29,Weber St.,Cal Poly,49,35,,2,,FCS R16,FCS
2008,2008x11x29,Appalachian St.,SC State,37,21,,1,,FCS R16,FCS
2008,2008x11x29,Richmond,Eastern Ky.,38,10,,1,,FCS R16,FCS
2008,2008x11x29,Northern Iowa,Maine,40,15,,1,,FCS R16,FCS
2008,2008x11x29,New Hampshire,Southern Ill.,29,20,,2,,FCS R16,FCS
2008,2008x12x06,James Madison,Villanova,31,27,,1,,FCS QF,FCS
2008,2008x12x06,Montana,Weber St.,24,13,,1,,FCS QF,FCS
2008,2008x12x06,Richmond,Appalachian St.,33,13,,2,,FCS QF,FCS
2008,2008x12x06,Northern Iowa,New Hampshire,36,34,,1,,FCS QF,FCS
2008,2008x12x13,Montana,James Madison,35,27,,2,,FCS Semi,FCS
2008,2008x12x13,Richmond,Northern Iowa,21,20,,2,,FCS Semi,FCS
2008,2008x12x19,Richmond,Montana,24,7,,3,Chattanooga,FCS Champ,FCS
2009,2009x11x14,Neb. Kearney,Saginaw Valley St.,35,20,,1,,D2 R24,D2
2009,2009x11x14,Hillsdale,Minnesota St.,27,24,OT,2,,D2 R24,D2
2009,2009x11x14,Arkansas Tech,NC Pembroke,41,13,,1,,D2 R24,D2
2009,2009x11x14,West Alabama,Albany St.,24,22,,2,,D2 R24,D2
2009,2009x11x14,Edinboro,East Stroudsburg,31,16,,2,,D2 R24,D2
2009,2009x11x14,California (PA),Fayetteville St.,42,13,,1,,D2 R24,D2
2009,2009x11x14,Tarleton,TAMU Kingsville,57,56,2OT,1,,D2 R24,D2
2009,2009x11x14,Abilene Christian,Midwestern St.,24,21,,2,,D2 R24,D2
2009,2009x11x21,Minn. Duluth,Neb. Kearney,42,7,,1,,D2 R16,D2
2009,2009x11x21,Grand Valley St.,Hillsdale,44,27,,1,,D2 R16,D2
2009,2009x11x21,North Alabama,Arkansas Tech,41,28,,1,,D2 R16,D2
2009,2009x11x21,Carson-Newman,West Alabama,59,21,,1,,D2 R16,D2
2009,2009x11x21,West Liberty St.,Edinboro,84,63,,1,,D2 R16,D2
2009,2009x11x21,California (PA),Shippensburg,26,21,,2,,D2 R16,D2
2009,2009x11x21,Central Wash.,Tarleton,27,6,,1,,D2 R16,D2
2009,2009x11x21,NW Missouri St.,Abilene Christian,35,10,,1,,D2 R16,D2
2009,2009x11x28,Grand Valley St.,Minn. Duluth,24,10,,2,,D2 QF,D2
2009,2009x11x28,Carson-Newman,North Alabama,24,21,,2,,D2 QF,D2
2009,2009x11x28,California (PA),West Liberty St.,57,35,,2,,D2 QF,D2
2009,2009x11x28,NW Missouri St.,Central Wash.,21,20,,2,,D2 QF,D2
2009,2009x12x05,Grand Valley St.,Carson-Newman,41,27,,1,,D2 Semi,D2
2009,2009x12x05,NW Missouri St.,California (PA),56,31,,1,,D2 Semi,D2
2009,2009x12x12,NW Missouri St.,Grand Valley St.,30,23,,3,Florence AL,D2 Champ,D2
2009,2009x11x21,Mount Union,Wash. & Jeff.,55,0,,1,,D3 R32,D3
2009,2009x11x21,Montclair St.,Maine Maritime,38,22,,1,,D3 R32,D3
2009,2009x11x21,Albright,Alfred,35,25,,2,,D3 R32,D3
2009,2009x11x21,Delaware Valley,Susquehanna,66,7,,1,,D3 R32,D3
2009,2009x11x21,Wesley,NC Wesleyan,55,23,,1,,D3 R32,D3
2009,2009x11x21,Mississippi Col.,Huntingdon,56,35,,2,,D3 R32,D3
2009,2009x11x21,Johns Hopkins,Hampden-Sydney,23,7,,2,,D3 R32,D3
2009,2009x11x21,Thomas More,DePauw,49,39,,1,,D3 R32,D3
2009,2009x11x21,UW Whitewater,Lakeland,70,7,,1,,D3 R32,D3
2009,2009x11x21,Ill. Wesleyan,Wabash,41,35,2OT,1,,D3 R32,D3
2009,2009x11x21,Trine,CWRU,51,38,,2,,D3 R32,D3
2009,2009x11x21,Wittenberg,Mount St. Joseph,42,14,,1,,D3 R32,D3
2009,2009x11x21,Coe,St. John's (MN),34,27,,2,,D3 R32,D3
2009,2009x11x21,St. Thomas,Monmouth (IL),43,21,,2,,D3 R32,D3
2009,2009x11x21,Mary Hardin-Baylor,Central (IA),42,40,,2,,D3 R32,D3
2009,2009x11x21,Linfield,Cal Lutheran,38,17,,1,,D3 R32,D3
2009,2009x11x28,Mount Union,Montclair St.,62,14,,99,,D3 R16,D3
2009,2009x11x28,Albright,Delaware Valley,27,3,,99,,D3 R16,D3
2009,2009x11x28,Wesley,Mississippi Col.,43,9,,99,,D3 R16,D3
2009,2009x11x28,Johns Hopkins,Thomas More,31,29,,99,,D3 R16,D3
2009,2009x11x28,UW Whitewater,Ill. Wesleyan,45,7,,99,,D3 R16,D3
2009,2009x11x28,Wittenberg,Trine,34,17,,99,,D3 R16,D3
2009,2009x11x28,St. Thomas,Coe,34,7,,99,,D3 R16,D3
