sport,year,round,event,name1,name2,team1,score1,team2,score2,ot,location
MLS,1969,,USOCUP,,,New York Greek American,1,Los Angeles Armenians,0,,
NBA,1969,,NBAASG,,,East,123,West,112,,Baltimore
NFL,1969,,AFLASG,,,AFL West,26,AFL East,3,,Houston
NFL,1969,,Pro Bowl,,,NFL West,16,NFL East,13,,Los Angeles
NHL,1969,,NHLASG,,,West,3,East,3,TIE,Montreal
MLB,1970,,ASG,,,National,5,American,4,12 innings,Cincinnati
MLS,1970,,USOCUP,,,Elizabeth SC,2,Los Angeles Croatians,1,,
NBA,1970,,NBAASG,,,East,142,West,135,,Philadelphia
NFL,1970,,Pro Bowl,,,NFC,27,AFC,6,,Los Angeles
NHL,1970,,NHLASG,,,East,4,West,1,,St. Louis
MLB,1971,,ASG,,,American,6,National,4,,Detroit
MLS,1971,,USOCUP,,,New York Hota,6,San Pedro Yugoslavs,4,AET,
NBA,1971,,NBAASG,,,West,108,East,107,,San Diego
NFL,1971,,Pro Bowl,,,AFC,26,NFC,13,,Los Angeles
NHL,1971,,NHLASG,,,West,2,East,1,,Boston
MLB,1972,,ASG,,,National,4,American,3,10 innings,Atlanta
MLS,1972,,USOCUP,,,Elizabeth SC,1,San Pedro Yugoslavs,0,,
NBA,1972,,NBAASG,,,West,112,East,110,,Inglewood
NFL,1972,,Pro Bowl,,,AFC,33,NFC,28,,Irving
NHL,1972,,NHLASG,,,East,3,West,2,,Bloomington
MLB,1973,,ASG,,,National,7,American,1,,Kansas City
MLS,1973,,USOCUP,,,Los Angeles Maccabee,5,Cleveland Inter Italian,3,AET,
NBA,1973,,NBAASG,,,East,104,West,84,,Chicago
NFL,1973,,Pro Bowl,,,AFC,15,NFC,13,,Kansas City
NHL,1973,,NHLASG,,,East,5,West,4,,New York
MLB,1974,,ASG,,,National,7,American,2,,Pittsburgh
MLS,1974,,USOCUP,,,New York Greek American,2,Chicago Croatians,0,,
NBA,1974,,NBAASG,,,West,134,East,123,,Seattle
NFL,1974,,Pro Bowl,,,NFC,17,AFC,10,,Miami
NHL,1974,,NHLASG,,,West,6,East,4,,Chicago
MLB,1975,,ASG,,,National,6,American,3,,Milwaukee AL
MLS,1975,,USOCUP,,,Los Angeles Maccabee,1,New York Inter Giuliana,0,,
NBA,1975,,NBAASG,,,East,108,West,102,,Phoenix
NFL,1975,,Pro Bowl,,,NFC,23,AFC,20,,New Orleans
NHL,1975,,NHLASG,,,Wales,7,Campbell,1,,Montreal
MLB,1976,,ASG,,,National,7,American,1,,Philadelphia NL
MLS,1976,,USOCUP,,,San Francisco Italians,1,New York Inter Giuliana,0,,
NBA,1976,,NBAASG,,,East,123,West,109,,Philadelphia
NFL,1976,,Pro Bowl,,,AFC,24,NFC,14,,Seattle
NHL,1976,,NHLASG,,,Wales,7,Campbell,5,,Philadelphia
MLB,1977,,ASG,,,National,7,American,5,,New York AL
MLS,1977,,USOCUP,,,Los Angeles Maccabee,5,Philadelphia United German Hungarians,1,,
NBA,1977,,NBAASG,,,West,125,East,124,,Milwaukee
NFL,1977,,Pro Bowl,,,NFC,14,AFC,13,,Tampa
NHL,1977,,NHLASG,,,Wales,4,Campbell,3,,Vancouver
MLB,1978,,ASG,,,National,7,American,3,,San Diego
MLS,1978,,USOCUP,,,Los Angeles Maccabee,2,Bridgeport Vasco da Gama,0,AET,
NBA,1978,,NBAASG,,,East,133,West,125,,Atlanta
NFL,1978,,Pro Bowl,,,NFC,13,AFC,7,,Los Angeles
NHL,1978,,NHLASG,,,Wales,3,Campbell,2,OT,Buffalo
MLB,1979,,ASG,,,National,7,American,6,,Seattle
MLS,1979,,USOCUP,,,Brooklyn Italians,2,Chicago Croatians,1,,
NBA,1979,,NBAASG,,,West,134,East,129,,Detroit
NFL,1979,,Pro Bowl,,,NFC,37,AFC,27,,Honolulu
MLB,1980,,ASG,,,National,4,American,2,,Los Angeles
MLS,1980,,USOCUP,,,New York Pancyprian Freedoms,3,Los Angeles Maccabee,2,,
NBA,1980,,NBAASG,,,East,144,West,136,OT,Landover
NFL,1980,,Pro Bowl,,,NFC,21,AFC,7,,Honolulu
NHL,1980,,NHLASG,,,Wales,6,Campbell,3,,Detroit
MLB,1981,,ASG,,,National,5,American,4,,Cleveland
MLS,1981,,USOCUP,,,Maccabi Los Angeles,5,Brooklyn Italians,1,,
NBA,1981,,NBAASG,,,East,123,West,120,,Richfield
NFL,1981,,Pro Bowl,,,AFC,16,NFC,13,,Honolulu
NHL,1981,,NHLASG,,,Campbell,4,Wales,1,,Inglewood
MLB,1982,,ASG,,,National,4,American,1,,Montreal
MLS,1982,,USOCUP,,,New York Pancyprian Freedoms,4,Los Angeles Maccabee,3,AET,
NBA,1982,,NBAASG,,,East,120,West,118,,East Rutherford
NFL,1982,,Pro Bowl,,,NFC,20,AFC,19,,Honolulu
NHL,1982,,NHLASG,,,Wales,4,Campbell,2,,Washington
MLB,1983,,ASG,,,American,13,National,3,,Chicago AL
MLS,1983,,USOCUP,,,New York Pancyprian Freedoms,4,St. Louis Kutis,3,,
NBA,1983,,NBAASG,,,East,132,West,123,,Inglewood
NFL,1983,,Pro Bowl,,,NFC,45,AFC,3,,Honolulu
