sport,year,round,event,name1,name2,seed1,team1,score1,seed2,team2,score2,ot,loc
NCAABB,1993,64,SER1,Southeast Regional,First Round,1,Kentucky,96,16,Rider,52,,
NCAABB,1993,64,SER1,Southeast Regional,First Round,2,Seton Hall,81,15,Tennessee St.,59,,
NCAABB,1993,64,SER1,Southeast Regional,First Round,3,Florida St.,82,14,Evansville,70,,
NCAABB,1993,64,SER1,Southeast Regional,First Round,4,Iowa,82,13,UL Monroe,69,,
NCAABB,1993,64,SER1,Southeast Regional,First Round,5,Wake Forest,81,12,Chattanooga,58,,
NCAABB,1993,64,SER1,Southeast Regional,First Round,7,Western Ky.,55,10,Memphis,52,,
NCAABB,1993,64,SER1,Southeast Regional,First Round,8,Utah,86,9,Pittsburgh,65,,
NCAABB,1993,64,SER1,Southeast Regional,First Round,11,Tulane,55,6,Kansas St.,53,,
NCAABB,1993,64,WER1,West Regional,First Round,1,Michigan,84,16,Coastal Carolina,53,,
NCAABB,1993,64,WER1,West Regional,First Round,3,Vanderbilt,92,14,Boise St.,72,,
NCAABB,1993,64,WER1,West Regional,First Round,6,Illinois,75,11,Long Beach St.,72,,
NCAABB,1993,64,WER1,West Regional,First Round,7,Temple,75,10,Missouri,61,,
NCAABB,1993,64,WER1,West Regional,First Round,9,UCLA,81,8,Iowa State,70,,
NCAABB,1993,64,WER1,West Regional,First Round,12,G. Washington,82,5,New Mexico,68,,
NCAABB,1993,64,WER1,West Regional,First Round,13,Southern,93,4,Georgia Tech,78,,
NCAABB,1993,64,WER1,West Regional,First Round,15,Santa Clara,64,2,Arizona,61,,
NCAABB,1993,32,EAR2,East Regional,Second Round,1,North Carolina,112,8,Rhode Island,67,,
NCAABB,1993,32,EAR2,East Regional,Second Round,2,Cincinnati,92,7,New Mexico St.,55,,
NCAABB,1993,32,EAR2,East Regional,Second Round,4,Arkansas,80,5,St. John's,74,,
NCAABB,1993,32,EAR2,East Regional,Second Round,6,Virginia,71,3,Massachusetts,56,,
NCAABB,1993,32,MWR2,Midwest Regional,Second Round,1,Indiana,73,9,Xavier,70,,
NCAABB,1993,32,MWR2,Midwest Regional,Second Round,2,Kansas,90,7,BYU,76,,
NCAABB,1993,32,MWR2,Midwest Regional,Second Round,4,Louisville,78,5,Oklahoma St.,63,,
NCAABB,1993,32,MWR2,Midwest Regional,Second Round,6,California,82,3,Duke,77,,
NCAABB,1993,32,SER2,Southeast Regional,Second Round,1,Kentucky,83,8,Utah,62,,
NCAABB,1993,32,SER2,Southeast Regional,Second Round,3,Florida St.,94,11,Tulane,63,,
NCAABB,1993,32,SER2,Southeast Regional,Second Round,5,Wake Forest,84,4,Iowa,78,,
NCAABB,1993,32,SER2,Southeast Regional,Second Round,7,Western Ky.,72,2,Seton Hall,68,,
NCAABB,1993,32,WER2,West Regional,Second Round,1,Michigan,86,9,UCLA,84,OT,
NCAABB,1993,32,WER2,West Regional,Second Round,3,Vanderbilt,85,6,Illinois,68,,
NCAABB,1993,32,WER2,West Regional,Second Round,7,Temple,68,15,Santa Clara,57,,
NCAABB,1993,32,WER2,West Regional,Second Round,12,G. Washington,90,13,Southern,80,,
NCAABB,1993,16,EASF,East Regional,Semifinals,1,North Carolina,80,4,Arkansas,74,,
NCAABB,1993,16,EASF,East Regional,Semifinals,2,Cincinnati,71,6,Virginia,54,,
NCAABB,1993,16,MWSF,Midwest Regional,Semifinals,1,Indiana,82,4,Louisville,69,,
NCAABB,1993,16,MWSF,Midwest Regional,Semifinals,2,Kansas,93,6,California,76,,
NCAABB,1993,16,SESF,Southeast Regional,Semifinals,1,Kentucky,103,5,Wake Forest,69,,
NCAABB,1993,16,SESF,Southeast Regional,Semifinals,3,Florida St.,81,7,Western Ky.,78,OT,
NCAABB,1993,16,WESF,West Regional,Semifinals,1,Michigan,72,12,G. Washington,64,,
NCAABB,1993,16,WESF,West Regional,Semifinals,7,Temple,67,3,Vanderbilt,59,,
NCAABB,1993,8,EAFinal,East Regional,Final,1,North Carolina,75,2,Cincinnati,68,OT,
NCAABB,1993,8,MWFinal,Midwest Regional,Final,2,Kansas,83,1,Indiana,77,,
NCAABB,1993,8,SEFinal,Southeast Regional,Final,1,Kentucky,106,3,Florida St.,81,,
NCAABB,1993,8,WEFinal,West Regional,Final,1,Michigan,77,7,Temple,72,,
NCAABB,1993,4,NCAASF,Final Four,Semifinals,1,Michigan,81,1,Kentucky,78,OT,
NCAABB,1993,4,NCAASF,Final Four,Semifinals,1,North Carolina,78,2,Kansas,68,,
NCAABB,1993,2,NCAAFinal,Final Four,Championship,1,North Carolina,77,1,Michigan,71,,New Orleans
NCAABB,1994,64,EAR1,East Regional,First Round,1,North Carolina,71,16,Liberty,51,,
NCAABB,1994,64,EAR1,East Regional,First Round,2,Connecticut,64,15,Rider,46,,
NCAABB,1994,64,EAR1,East Regional,First Round,3,Florida,64,14,James Madison,62,,
NCAABB,1994,64,EAR1,East Regional,First Round,4,Temple,61,13,Drexel,39,,
NCAABB,1994,64,EAR1,East Regional,First Round,5,Indiana,84,12,Ohio,72,,
NCAABB,1994,64,EAR1,East Regional,First Round,9,Boston College,67,8,Washington St.,64,,
NCAABB,1994,64,EAR1,East Regional,First Round,10,G. Washington,51,7,UAB,46,,
NCAABB,1994,64,EAR1,East Regional,First Round,11,Pennsylvania,90,6,Nebraska,80,,
NCAABB,1994,64,MWR1,Midwest Regional,First Round,1,Arkansas,94,16,NC A&T,79,,
